OBJECTID,BOREHOLE,X,Y,GEOL,longitud,latitud,DESCRIPTIO,THICKNESS,PERCCLAY,PERMEABILI
93,Bhnr93,829166,1044250,qlac,-75.617760,4.994548,Lake deposits,6,80,0.10000000000
94,Bhnr94,833047,1044619,kdg,-75.582780,4.997965,Dioritic gabbro,4,35,0.10000000000
95,Bhnr95,836814,1044062,qlahar,-75.548810,4.993006,Lahar deposits,25,25,2.50000000000
96,Bhnr96,835975,1044544,kis,-75.556390,4.997347,Metasedimentary rock,9,45,0.00000000000
97,Bhnr97,836317,1044537,qdfmix,-75.553300,4.997290,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
98,Bhnr98,836256,1044438,qdfmix,-75.553850,4.996394,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
99,Bhnr99,834937,1044519,kd,-75.565740,4.997099,Subaquatic lavaflows,6,55,0.00000000000
100,Bhnr100,832067,1044500,kdg,-75.591610,4.996868,Dioritic gabbro,2,35,0.10000000000
101,Bhnr101,833874,1044481,inch,-75.575320,4.996734,Gneissic intrusive,2,20,0.90000000000
102,Bhnr102,833847,1044406,inch,-75.575570,4.996056,Gneissic intrusive,4,20,0.90000000000
103,Bhnr103,836378,1044369,kis,-75.552750,4.995773,Metasedimentary rock,7,45,0.00000000000
104,Bhnr104,836880,1044319,qlahar,-75.548220,4.995331,Lahar deposits,25,25,2.50000000000
105,Bhnr105,835672,1044331,kd,-75.559110,4.995415,Subaquatic lavaflows,6,55,0.00000000000
106,Bhnr106,831712,1044200,kclp,-75.594810,4.994149,Chloritic/amfibolitic schists,2,60,0.00000000000
107,Bhnr107,827629,1044069,kclp,-75.631610,4.992879,Chloritic/amfibolitic schists,4,60,0.00000000000
108,Bhnr108,834059,1043981,inch,-75.573650,4.992218,Gneissic intrusive,4,20,0.90000000000
109,Bhnr109,832259,1043981,kdg,-75.589870,4.992181,Dioritic gabbro,4,35,0.10000000000
110,Bhnr110,834545,1043962,qdfmix,-75.569270,4.992056,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
111,Bhnr111,836906,1043819,kis,-75.547980,4.990812,Metasedimentary rock,7,45,0.00000000000
112,Bhnr112,836147,1043844,kis,-75.554820,4.991022,Metasedimentary rock,9,45,0.00000000000
113,Bhnr113,836650,1043913,qlahar,-75.550290,4.991656,Lahar deposits,25,25,2.50000000000
114,Bhnr114,832811,1043888,kdg,-75.584890,4.991352,Dioritic gabbro,2,35,0.10000000000
115,Bhnr115,835212,1043863,qdfmix,-75.563250,4.991175,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
116,Bhnr116,830716,1042500,qal,-75.603750,4.978761,Recent alluvial material,20,0,3.50000000000
117,Bhnr117,832972,1043794,inch,-75.583440,4.990505,Gneissic intrusive,3,20,0.90000000000
118,Bhnr118,835322,1043706,qpf,-75.562260,4.989758,Pyroclastic flow material,40,5,3.00000000000
119,Bhnr119,835325,1043863,qpf,-75.562230,4.991177,Pyroclastic flow material,40,5,3.00000000000
120,Bhnr120,831112,1043669,kclp,-75.600200,4.989336,Chloritic/amfibolitic schists,8,60,0.00000000000
121,Bhnr121,828529,1043675,kd,-75.623490,4.989336,Subaquatic lavaflows,8,55,0.00000000000
122,Bhnr122,833869,1043600,qdfmix,-75.575350,4.988770,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
123,Bhnr123,834680,1043662,qpf,-75.568040,4.989347,Pyroclastic flow material,40,5,3.00000000000
124,Bhnr124,836563,1043650,kis,-75.551070,4.989277,Metasedimentary rock,7,45,0.00000000000
125,Bhnr125,833275,1043637,qdfmix,-75.580710,4.989092,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
126,Bhnr126,834769,1043606,kd,-75.567240,4.988843,Subaquatic lavaflows,6,55,0.00000000000
127,Bhnr127,831466,1043575,qlahar,-75.597010,4.988494,Lahar deposits,25,25,2.50000000000
128,Bhnr128,832063,1043587,qdfmix,-75.591630,4.988615,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
129,Bhnr129,836579,1043331,kis,-75.550920,4.986393,Metasedimentary rock,9,45,0.00000000000
